,vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url
6392,auspride,Drugs and Chemicals,,,Drugs and Chemicals,Fishscale 92% Auspride Bolivian Cocaine (7 Grams),"1,455.00",Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/fishscale-92-auspride-bolivian-cocaine-7-grams
6393,richhigh999,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,OXYCODONE SANDOZ 80mg 84 PILLS ORIGINAL BLISTERS,"1,180.00",,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycodone-sandoz-80mg-84-pills-original-blisters
6394,RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1000g Golden Stardawg Dust/Shake  AAA+ - UK Vendor,"2,780.45",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000g-golden-stardawg-dustshake-aaa-uk-vendor
6395,kandykones,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,2g Cali Import Amnesia Haze Shake/Dust - UK ONLY,13.90,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-cali-import-amnesia-haze-shakedust-uk-only
6396,NARCOTICSDIRECT,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,NEW PURE PERUVIAN COKE 1G ***FREE UK DELIVERY***,104.27,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/new-pure-peruvian-coke-1g-free-uk-delivery
6397,California420Service,Drugs and Chemicals,Cannabis & Hash,Seeds,Seeds,Aliendawg x Purple Alien (10 seeds),111.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/aliendawg-x-purple-alien-10-seeds
6398,EUROSHOPPER,Drugs and Chemicals,Ecstasy,,Ecstasy,1000x XTC - RED AND PURPLE NASA - 120MG MDMA,"1,193.30",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000x-xtc-red-and-purple-nasa-120mg-mdma
6399,drugparis,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,*2G* Amnesia Haze Coffee Shop Quality (SAMPLE),23.87,France,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-amnesia-haze-coffee-shop-quality-sample
6400,drkend,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,Buy CBD Oil 50 – 70% Purity Online (100g),"2,300.00",Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-cbd-oil-50-70-purity-online-100g
6401,barcodecom,Drugs and Chemicals,Opiates,Heroin,Heroin,Pressed M30 oxycodone,15.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pressed-m30-oxycodone
6402,CanadianSmoker12,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,7G Exotic Sherbert Run Badder (Super Dank),210.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-exotic-sherbert-run-badder-super-dank
6403,snowwhite38,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,10 GR ★|| AMNESIA HAZE A++||★,119.33,Germany,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-gr-amnesia-haze-a
6404,kandykones,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,SPECIAL OFFER - 500g Cali Import Lemon Haze - UK,"4,170.68",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/special-offer-500g-cali-import-lemon-haze-uk
